"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-02","Andalucía",13,0.15,1,0
"2020-03-02","Aragón",0,0.0,0,0
"2020-03-02","Asturias",2,0.2,1,0
"2020-03-02","Baleares",5,0.43,0,0
"2020-03-02","Canarias",7,0.33,0,0
"2020-03-02","Cantabria",10,1.72,0,0
"2020-03-02","Castilla La Mancha",12,0.59,1,0
"2020-03-02","Castilla y León",11,0.46,1,0
"2020-03-02","Cataluña",15,0.2,0,0
"2020-03-02","Ceuta",0,0.0,0,0
"2020-03-02","C. Valenciana",19,0.38,0,1
"2020-03-02","Extremadura",6,0.56,0,0
"2020-03-02","Galicia",1,0.04,0,0
"2020-03-02","Madrid",70,1.05,2,0
"2020-03-02","Melilla",0,0.0,0,0
"2020-03-02","Murcia",0,0.0,0,0
"2020-03-02","Navarra",3,0.46,1,0
"2020-03-02","País Vasco",17,0.77,0,0
"2020-03-02","La Rioja",7,2.21,0,0
"2020-03-03 00:00:00","Andalucía",12,0.14,1,0
"2020-03-03 00:00:00","Aragón",1,0.08,1,0
"2020-03-03 00:00:00","Asturias",5,0.49,2,0
"2020-03-03 00:00:00","Baleares",6,0.52,0,0
"2020-03-03 00:00:00","Canarias",8,0.37,0,0
"2020-03-03 00:00:00","Cantabria",10,1.72,0,0
"2020-03-03 00:00:00","Castilla La Mancha",13,0.64,1,0
"2020-03-03 00:00:00","Castilla y León",11,0.46,1,0
"2020-03-03 00:00:00","Cataluña",24,0.31,0,0
"2020-03-03 00:00:00","Ceuta",0,0.0,0,0
"2020-03-03 00:00:00","C. Valenciana",19,0.38,0,1
"2020-03-03 00:00:00","Extremadura",6,0.56,0,0
"2020-03-03 00:00:00","Galicia",1,0.04,0,0
"2020-03-03 00:00:00","Madrid",90,1.35,2,1
"2020-03-03 00:00:00","Melilla",0,0.0,0,0
"2020-03-03 00:00:00","Murcia",0,0.0,0,0
"2020-03-03 00:00:00","Navarra",3,0.46,1,0
"2020-03-03 00:00:00","País Vasco",17,0.77,0,1
"2020-03-03 00:00:00","La Rioja",11,3.47,0,0
"2020-03-04 00:00:00","Andalucía",21,0.25,1,0
"2020-03-04 00:00:00","Aragón",6,0.45,1,1
"2020-03-04 00:00:00","Asturias",5,0.49,2,0
"2020-03-04 00:00:00","Baleares",6,0.52,0,0
"2020-03-04 00:00:00","Canarias",11,0.51,0,0
"2020-03-04 00:00:00","Cantabria",10,1.72,0,0
"2020-03-04 00:00:00","Castilla La Mancha",15,0.74,1,0
"2020-03-04 00:00:00","Castilla y León",14,0.58,1,0
"2020-03-04 00:00:00","Cataluña",24,0.31,0,0
"2020-03-04 00:00:00","Ceuta",0,0.0,0,0
"2020-03-04 00:00:00","C. Valenciana",30,0.6,1,1
"2020-03-04 00:00:00","Extremadura",6,0.56,0,0
"2020-03-04 00:00:00","Galicia",3,0.11,0,0
"2020-03-04 00:00:00","Madrid",137,2.06,2,2
"2020-03-04 00:00:00","Melilla",0,0.0,0,0
"2020-03-04 00:00:00","Murcia",0,0.0,0,0
"2020-03-04 00:00:00","Navarra",3,0.46,1,0
"2020-03-04 00:00:00","País Vasco",45,2.04,1,1
"2020-03-04 00:00:00","La Rioja",29,9.15,0,0
"2020-03-05 00:00:00","Andalucía",54,0.64,1,0
"2020-03-05 00:00:00","Aragón",13,0.99,1,1
"2020-03-05 00:00:00","Asturias",7,0.68,2,0
"2020-03-05 00:00:00","Baleares",11,0.96,0,0
"2020-03-05 00:00:00","Canarias",22,1.02,0,0
"2020-03-05 00:00:00","Cantabria",12,2.07,0,0
"2020-03-05 00:00:00","Castilla La Mancha",26,1.28,2,0
"2020-03-05 00:00:00","Castilla y León",23,0.96,1,0
"2020-03-05 00:00:00","Cataluña",75,0.98,0,1
"2020-03-05 00:00:00","Ceuta",0,0.0,0,0
"2020-03-05 00:00:00","C. Valenciana",37,0.74,1,1
"2020-03-05 00:00:00","Extremadura",7,0.66,0,0
"2020-03-05 00:00:00","Galicia",6,0.22,0,0
"2020-03-05 00:00:00","Madrid",469,7.04,53,8
"2020-03-05 00:00:00","Melilla",0,0.0,0,0
"2020-03-05 00:00:00","Murcia",4,0.27,0,0
"2020-03-05 00:00:00","Navarra",3,0.46,1,0
"2020-03-05 00:00:00","País Vasco",149,6.75,5,5
"2020-03-05 00:00:00","La Rioja",81,25.57,1,0
"2020-03-06 00:00:00","Andalucía",71,0.84,1,0
"2020-03-06 00:00:00","Aragón",38,2.88,3,3
"2020-03-06 00:00:00","Asturias",22,2.15,2,0
"2020-03-06 00:00:00","Baleares",13,1.13,1,0
"2020-03-06 00:00:00","Canarias",25,1.16,1,0
"2020-03-06 00:00:00","Cantabria",12,2.07,0,0
"2020-03-06 00:00:00","Castilla La Mancha",39,1.92,2,0
"2020-03-06 00:00:00","Castilla y León",56,2.33,2,0
"2020-03-06 00:00:00","Cataluña",124,1.62,0,3
"2020-03-06 00:00:00","Ceuta",0,0.0,0,0
"2020-03-06 00:00:00","C. Valenciana",50,1.0,1,1
"2020-03-06 00:00:00","Extremadura",8,0.75,0,0
"2020-03-06 00:00:00","Galicia",22,0.81,2,0
"2020-03-06 00:00:00","Madrid",782,11.74,77,21
"2020-03-06 00:00:00","Melilla",0,0.0,0,0
"2020-03-06 00:00:00","Murcia",9,0.6,0,0
"2020-03-06 00:00:00","Navarra",12,1.83,2,0
"2020-03-06 00:00:00","País Vasco",195,8.83,5,6
"2020-03-06 00:00:00","La Rioja",144,45.45,1,1
"2020-03-07 00:00:00","Andalucía",90,1.07,3,0
"2020-03-07 00:00:00","Aragón",45,3.41,3,4
"2020-03-07 00:00:00","Asturias",32,3.13,2,0
"2020-03-07 00:00:00","Baleares",16,1.39,1,0
"2020-03-07 00:00:00","Canarias",37,1.49,1,0
"2020-03-07 00:00:00","Cantabria",12,2.07,0,0
"2020-03-07 00:00:00","Castilla-La Mancha",71,3.49,5,0
"2020-03-07 00:00:00","Castilla y León",71,2.96,2,0
"2020-03-07 00:00:00","Cataluña",156,2.02,0,3
"2020-03-07 00:00:00","Ceuta",0,0.0,0,0
"2020-03-07 00:00:00","C. Valenciana",65,1.28,1,1
"2020-03-07 00:00:00","Extremadura",9,0.84,1,0
"2020-03-07 00:00:00","Galicia",39,1.44,2,0
"2020-03-07 00:00:00","Madrid",1024,15.34,102,31
"2020-03-07 00:00:00","Melilla",0,0.0,0,0
"2020-03-07 00:00:00","Murcia",11,0.74,0,0
"2020-03-07 00:00:00","Navarra",46,7.03,3,0
"2020-03-07 00:00:00","País Vasco",225,10.19,15,6
"2020-03-07 00:00:00","La Rioja",179,56.5,1,2
"2020-03-08 00:00:00","Andalucía",115,1.35,4,0
"2020-03-08 00:00:00","Aragón",64,4.85,3,6
"2020-03-08 00:00:00","Asturias",47,4.6,2,1
"2020-03-08 00:00:00","Baleares",22,1.83,2,1
"2020-03-08 00:00:00","Canarias",51,2.09,3,0
"2020-03-08 00:00:00","Cantabria",16,2.75,0,0
"2020-03-08 00:00:00","Castilla-La Mancha",115,5.66,9,1
"2020-03-08 00:00:00","Castilla y León",92,3.83,4,0
"2020-03-08 00:00:00","Cataluña",260,3.36,0,4
"2020-03-08 00:00:00","Ceuta",0,0.0,0,0
"2020-03-08 00:00:00","C. Valenciana",76,1.48,2,1
"2020-03-08 00:00:00","Extremadura",19,1.78,1,1
"2020-03-08 00:00:00","Galicia",35,1.3,2,0
"2020-03-08 00:00:00","Madrid",1388,20.77,135,56
"2020-03-08 00:00:00","Melilla",0,0.0,0,0
"2020-03-08 00:00:00","Murcia",26,1.74,1,0
"2020-03-08 00:00:00","Navarra",73,11.16,3,0
"2020-03-08 00:00:00","País Vasco",346,15.67,18,11
"2020-03-08 00:00:00","La Rioja",205,64.71,1,2
"2020-03-09 00:00:00","Andalucía",219,2.53,8,0
"2020-03-09 00:00:00","Aragón",80,6.06,3,7
"2020-03-09 00:00:00","Asturias",67,6.55,2,1
"2020-03-09 00:00:00","Baleares",30,2.52,2,1
"2020-03-09 00:00:00","Canarias",70,2.97,2,0
"2020-03-09 00:00:00","Cantabria",29,4.99,0,0
"2020-03-09 00:00:00","Castilla-La Mancha",194,9.54,10,5
"2020-03-09 00:00:00","Castilla y León",169,6.96,8,1
"2020-03-09 00:00:00","Cataluña",316,4.08,25,4
"2020-03-09 00:00:00","Ceuta",0,0.0,0,0
"2020-03-09 00:00:00","C. Valenciana",94,1.72,2,1
"2020-03-09 00:00:00","Extremadura",39,3.65,1,1
"2020-03-09 00:00:00","Galicia",85,3.15,2,0
"2020-03-09 00:00:00","Madrid",1990,29.79,180,81
"2020-03-09 00:00:00","Melilla",2,2.31,0,0
"2020-03-09 00:00:00","Murcia",35,2.34,1,0
"2020-03-09 00:00:00","Navarra",130,19.87,4,0
"2020-03-09 00:00:00","País Vasco",417,18.89,20,14
"2020-03-09 00:00:00","La Rioja",243,76.71,2,2
"2020-03-12 00:00:00","Andalucía",554,6.44,11,7
"2020-03-12 00:00:00","Aragón",174,13.19,7,11
"2020-03-12 00:00:00","Asturias",177,17.21,3,1
"2020-03-12 00:00:00","Baleares",73,6.18,4,1
"2020-03-12 00:00:00","Canarias",119,5.2,9,1
"2020-03-12 00:00:00","Cantabria",58,8.26,2,0
"2020-03-12 00:00:00","Castilla-La Mancha",567,27.74,23,17
"2020-03-12 00:00:00","Castilla y León",334,13.79,24,9
"2020-03-12 00:00:00","Cataluña",903,11.57,33,12
"2020-03-12 00:00:00","Ceuta",1,1.18,0,0
"2020-03-12 00:00:00","C. Valenciana",409,7.87,4,5
"2020-03-12 00:00:00","Extremadura",111,9.83,1,2
"2020-03-12 00:00:00","Galicia",245,9.08,9,2
"2020-03-12 00:00:00","Madrid",4,62.07,253,213
"2020-03-12 00:00:00","Melilla",8,9.25,0,0
"2020-03-12 00:00:00","Murcia",77,5.15,2,0
"2020-03-12 00:00:00","Navarra",274,41.73,5,1
"2020-03-12 00:00:00","País Vasco",630,28.13,29,23
"2020-03-12 00:00:00","La Rioja",312,98.17,13,4
"2020-03-13 00:00:00","Andalucía",683,7.97,13,11
"2020-03-13 00:00:00","Aragón",207,15.69,9,12
"2020-03-13 00:00:00","Asturias",193,18.77,5,1
"2020-03-13 00:00:00","Baleares",92,7.83,4,1
"2020-03-13 00:00:00","Canarias",148,6.55,13,2
"2020-03-13 00:00:00","Cantabria",58,8.26,2,0
"2020-03-13 00:00:00","Castilla-La Mancha",567,27.55,23,17
"2020-03-13 00:00:00","Castilla y León",431,17.63,24,12
"2020-03-13 00:00:00","Cataluña",1,17.97,33,18
"2020-03-13 00:00:00","Ceuta",1,1.18,0,0
"2020-03-13 00:00:00","C. Valenciana",541,10.51,27,13
"2020-03-13 00:00:00","Extremadura",153,13.77,2,3
"2020-03-13 00:00:00","Galicia",292,10.82,9,3
"2020-03-13 00:00:00","Madrid",4,72.37,340,355
"2020-03-13 00:00:00","Melilla",17,19.66,0,0
"2020-03-13 00:00:00","Murcia",97,6.49,3,0
"2020-03-13 00:00:00","Navarra",313,47.69,10,2
"2020-03-13 00:00:00","País Vasco",765,34.06,33,36
"2020-03-13 00:00:00","La Rioja",355,111.11,13,5
"2020-03-14 00:00:00","Andalucía",859,10.07,21,19
"2020-03-14 00:00:00","Aragón",226,17.13,9,13
"2020-03-14 00:00:00","Asturias",242,23.46,5,1
"2020-03-14 00:00:00","Baleares",112,9.31,4,1
"2020-03-14 00:00:00","Canarias",181,8.08,17,3
"2020-03-14 00:00:00","Cantabria",68,9.98,3,1
"2020-03-14 00:00:00","Castilla-La Mancha",675,32.61,29,28
"2020-03-14 00:00:00","Castilla y León",668,27.38,43,22
"2020-03-14 00:00:00","Cataluña",1,24.12,33,41
"2020-03-14 00:00:00","Ceuta",1,1.18,0,0
"2020-03-14 00:00:00","C. Valenciana",726,14.13,40,22
"2020-03-14 00:00:00","Extremadura",194,17.61,3,6
"2020-03-14 00:00:00","Galicia",341,12.59,12,3
"2020-03-14 00:00:00","Madrid",5637,83.55,491,390
"2020-03-14 00:00:00","Melilla",20,23.12,0,0
"2020-03-14 00:00:00","Murcia",122,8.17,4,0
"2020-03-14 00:00:00","Navarra",386,58.54,10,3
"2020-03-14 00:00:00","País Vasco",973,43.3,37,40
"2020-03-14 00:00:00","La Rioja",419,130.05,13,5
"2020-03-15 00:00:00","Andalucía",1,11.84,25,23
"2020-03-15 00:00:00","Aragón",281,21.22,14,15
"2020-03-15 00:00:00","Asturias",292,28.06,6,1
"2020-03-15 00:00:00","Baleares",169,14.18,7,2
"2020-03-15 00:00:00","Canarias",220,9.84,23,3
"2020-03-15 00:00:00","Cantabria",83,12.56,4,1
"2020-03-15 00:00:00","Castilla-La Mancha",801,38.76,37,42
"2020-03-15 00:00:00","Castilla y León",868,35.72,54,29
"2020-03-15 00:00:00","Cataluña",2,34.89,33,55
"2020-03-15 00:00:00","Ceuta",1,1.18,0,0
"2020-03-15 00:00:00","C. Valenciana",921,18.03,52,24
"2020-03-15 00:00:00","Extremadura",241,22.01,3,8
"2020-03-15 00:00:00","Galicia",453,16.74,15,4
"2020-03-15 00:00:00","Madrid",6,100.35,590,498
"2020-03-15 00:00:00","Melilla",23,26.59,0,0
"2020-03-15 00:00:00","Murcia",167,11.18,6,0
"2020-03-15 00:00:00","Navarra",482,73.22,11,4
"2020-03-15 00:00:00","País Vasco",1,53.13,44,53
"2020-03-15 00:00:00","La Rioja",468,144.26,15,5
"2020-03-16 00:00:00","Andalucía",1287,15.05,38,30
"2020-03-16 00:00:00","Aragón",360,26.83,28,17
"2020-03-16 00:00:00","Asturias",344,33.14,7,2
"2020-03-16 00:00:00","Baleares",203,17.14,10,2
"2020-03-16 00:00:00","Canarias",287,12.82,25,4
"2020-03-16 00:00:00","Cantabria",144,23.06,7,1
"2020-03-16 00:00:00","Castilla-La Mancha",1,50.62,37,62
"2020-03-16 00:00:00","Castilla y León",1,47.22,69,43
"2020-03-16 00:00:00","Cataluña",3,42.29,33,82
"2020-03-16 00:00:00","Ceuta",5,5.9,0,0
"2020-03-16 00:00:00","C. Valenciana",1,21.48,71,33
"2020-03-16 00:00:00","Extremadura",297,27.25,4,10
"2020-03-16 00:00:00","Galicia",578,21.3,19,5
"2020-03-16 00:00:00","Madrid",7,105.47,678,628
"2020-03-16 00:00:00","Melilla",24,27.75,1,0
"2020-03-16 00:00:00","Murcia",204,13.66,11,0
"2020-03-16 00:00:00","Navarra",554,84.22,19,5
"2020-03-16 00:00:00","País Vasco",1,64.32,53,71
"2020-03-16 00:00:00","La Rioja",497,147.73,15,7
